material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements,avg_atomic_number,avg_electronegativity,avg_atomic_radius,avg_atomic_mass,num_elements,stability_raw,band_gap_raw,density_raw,final_score,stability_score,band_gap_score,density_score,rag_status
mp-726184,PbS,0.058972919999998,1.719399999999999,2.699717198511583,294.3337027960518,Monoclinic,"Pb, S",49.0,2.19,140.0,119.63,2,0.9443112105265183,1.719399999999999,0.7699717198511583,0.44943197057929063,0.38450222853893656,0.3438799999999998,0.7700842815491122,Amber
mp-727323,PbS,0.058041917499998,1.654,3.997078643102825,198.79963105335787,Monoclinic,"Pb, S",49.0,2.19,140.0,119.63,2,0.9451421380004086,1.654,0.8997078643102825,0.47605088642866533,0.3936860160347795,0.3308,0.899839392056378,Amber
mp-975,SF6,0.0,5.9124,2.8028887884988443,259.5865349336243,Monoclinic,"F, S",12.5,3.28,75.0,25.5292015815,2,1.0,5.0,0.7802888788498844,0.956080589761409,1.0,1.0,0.7804029488070445,Green
mp-7945,V3S,0.012825134375001,0.0,6.122752172541642,200.57400927053607,Tetragonal,"S, V",19.5,2.105,117.5,41.50075,2,0.9873372668788327,0.0,0.8877247827458359,0.6075937754928321,0.8600457275086573,0.0,0.8878545586925174,Amber
mp-2350391,PbS,0.059099277499999,1.6745,3.893559459289583,204.085173951622,Tetragonal,"Pb, S",49.0,2.19,140.0,119.63,2,0.9441985479968387,1.6745,0.8893559459289583,0.4699957076355979,0.3832570311374379,0.33490000000000003,0.8894859603343946,Amber
mp-2766207,Ag2S,0.013546961666666,0.6684999999999991,6.087581006200281,135.18798519118562,Tetragonal,"Ag, S",31.5,2.255,130.0,69.9641,2,0.986634105592513,0.6684999999999991,0.8912418993799719,0.6445214728458548,0.8522740698949907,0.13369999999999982,0.8913721894917974,Amber
mp-1217152,Ti2O,0.06440852,0.0,4.970669312336571,111.97949255056866,Monoclinic,"O, Ti",15.0,2.49,100.0,31.933,2,0.9394889097655852,0.0,0.9970669312336571,0.36504452451245395,0.33120397228786835,0.0,0.9972126918425989,Red
mp-32959,H2O,0.025225045,5.275399999999999,1.647356170145688,36.31889299700384,Tetragonal,"H, O",4.5,2.8200000000000003,42.5,8.5035,2,0.9753956020455977,5.0,0.6647356170145688,0.7969970733313966,0.7280610289385603,1.0,0.6648327943105818,Green
mp-530033,B8O,0.022155400370371,2.4459,2.542099350741202,401.6782384637485,Monoclinic,"B, O",6.5,2.74,72.5,13.4045,2,0.9783248218789988,2.4459,0.7542099350741203,0.677836086385804,0.7604360957450744,0.48918,0.7543201925663332,Amber
mp-556859,HgO,0.000508464374999,1.214,9.877796448579687,291.2837185772689,Monoclinic,"Hg, O",44.0,2.67,105.0,108.2955,2,0.9994917940296321,1.214,0.5122203551420312,0.6724905857669883,0.9943830770041497,0.24280000000000002,0.5122952363245667,Amber
mp-1203,TiO,0.052573148,0.0,4.934842399291236,107.45292722857164,Monoclinic,"O, Ti",15.0,2.49,100.0,31.933,2,0.9500527368573913,0.0,0.9934842399291236,0.4227059868127633,0.4479601829108866,0.0,0.9936294767866001,Amber
mp-1218065,Ta6O,0.03125975427619,0.0,15.785084753384506,231.7876400252598,Monoclinic,"O, Ta",40.5,2.47,102.5,98.47344,2,0.9696877977186937,0.0,0.0,0.332487892728345,0.66497578545669,0.0,0.0,Red
mp-1287184,VO,0.026801248958333,1.9785,5.594731491792294,79.47332576473944,Monoclinic,"O, V",15.5,2.535,97.5,33.47025,2,0.9738983089614254,1.9785,0.9405268508207706,0.6625990023427348,0.7115122663375875,0.3957,0.9406643458697058,Amber
mp-1975297,Na2O,0.098124611666667,1.6666999999999992,2.1778206941990232,94.51508033072896,Monoclinic,"Na, O",9.5,2.185,120.0,19.49438464,2,0.9106434637524976,1.6666999999999992,0.7177820694199023,0.24977490710829064,0.012391013598755052,0.33333999999999986,0.7178870015445659,Red
mp-551470,Tl2O,4.3133333335276816e-05,0.5194000000000001,9.872476803873909,142.89029008133875,Monoclinic,"O, Tl",44.5,2.62,125.0,110.1895,2,0.9999568685270689,0.5194000000000001,0.5127523196126091,0.6334911014071241,0.9995232913891652,0.10388000000000003,0.5128272785627075,Amber
mp-758933,B8O,0.025976052222222,2.3536,2.533458900688488,403.0481761231931,Monoclinic,"B, O",6.5,2.74,72.5,13.4045,2,0.9746816193555795,2.3536,0.7533458900688488,0.6519920883797344,0.72016976826073,0.47072,0.7534560212468473,Amber
mp-998914,K2O,0.041150101666666,0.8801,2.149151487134136,145.56083093478628,Monoclinic,"K, O",13.5,2.13,140.0,27.54865,2,0.9604763025035553,0.8801,0.7149151487134136,0.47739301253967625,0.5631661603894802,0.17602,0.7150196617246807,Amber
